sec_code,company_name,as_of,source_url
4042,TOSOH CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4043,TOKUYAMA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4061,"DENKA CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4063,"SHIN-ETSU CHEMICAL CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4183,"MITSUI CHEMICALS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4188,MITSUBISHI CHEMICAL GROUP CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4208,UBE CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4452,KAO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4901,FUJIFILM HOLDINGS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4911,"SHISEIDO CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6988,NITTO DENKO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5019,"IDEMITSU KOSAN CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5020,"ENEOS HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5101,"THE YOKOHAMA RUBBER CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5108,BRIDGESTONE CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5201,AGC INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5214,"NIPPON ELECTRIC GLASS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5233,TAIHEIYO CEMENT CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5301,"TOKAI CARBON CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5332,TOTO LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5333,"NGK INSULATORS, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5401,NIPPON STEEL CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5406,"KOBE STEEL, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5411,"JFE HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3436,SUMCO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5706,"MITSUI KINZOKU CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5711,MITSUBISHI MATERIALS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5713,"SUMITOMO METAL MINING CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5714,"DOWA HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5801,"FURUKAWA ELECTRIC CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5802,"SUMITOMO ELECTRIC IND., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5803,FUJIKURA LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2768,SOJITZ CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8001,ITOCHU CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8002,MARUBENI CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8015,TOYOTA TSUSHO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8031,"MITSUI &amp; CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8053,SUMITOMO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8058,MITSUBISHI CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1721,COMSYS HOLDINGS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1801,TAISEI CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1802,OBAYASHI CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
